,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,fake
0,1731,1427,163,2,25.75398133019867,4932,7047,2.9788404770094186,0,1,0,2,4,13,131,22,0
1,7371,162,127,2,26.1736844756145,12153,9340,31.035570587885104,0,1,0,1,6,13,75,7,0
2,5004,185,233,2,26.740059005312848,1398,9176,2.9788404770094186,0,1,0,5,7,13,131,37,0
3,7859,1369,122,2,20.301342448006245,12541,9389,21.171835674617846,0,1,0,1,5,1,22,31,0
4,3255,1391,233,2,34.14903028324472,7916,5144,3.986406860385856,0,1,1,1,5,1,51,16,0
5,2055,976,233,2,2.9788404770094186,13714,5485,2.9788404770094186,0,0,0,5,7,13,131,37,0
6,2566,964,0,0,25.37456196374012,856,5054,17.149546975907253,0,1,1,1,5,5,89,20,0
7,4381,1235,233,2,26.320211073415685,13071,2231,23.246502963787414,0,1,1,5,7,13,131,37,0
8,1761,423,233,2,29.815379937940452,12720,926,2.9788404770094186,0,1,1,1,0,13,58,37,0
9,4422,1146,233,2,20.855167882850637,6933,5813,2.9788404770094186,0,1,0,3,2,4,39,7,0
10,8601,1488,233,0,2.9788404770094186,12443,10531,6.233499970014923,0,0,0,1,5,1,58,18,0
11,6028,1179,464,2,13.727468579778279,8160,6303,20.801866963766184,0,1,0,5,7,13,131,37,0
12,3186,441,233,2,20.855167882850637,8729,5657,2.9788404770094186,0,1,0,1,0,1,72,18,0
13,478,1027,233,2,16.837462407968022,6110,4992,2.9788404770094186,0,1,1,1,6,9,35,23,0
14,4990,1273,122,2,17.903114683044727,6874,3449,13.880763396601276,0,1,0,1,0,1,61,31,0
15,8458,847,122,0,26.485303894928194,13652,4763,13.838936988630167,0,1,1,1,3,1,37,31,0
16,545,1580,176,2,16.49274269018609,981,3629,2.9788404770094186,0,1,0,1,5,13,61,12,0
17,7671,405,233,2,24.244184470356117,1241,10843,4.128030627544616,0,1,1,5,7,13,131,37,0
18,1185,1427,233,2,17.746377109876644,10746,5485,2.9788404770094186,0,1,0,5,7,13,131,37,0
19,9346,1417,233,2,12.145203812526697,8124,9481,2.9788404770094186,0,0,0,1,7,13,131,37,0
20,983,1015,233,2,31.94829820693957,7778,6717,2.9788404770094186,0,1,0,5,7,13,131,22,0
21,1382,162,233,2,31.316741299464866,11472,8074,23.423264766915008,0,1,0,1,5,5,24,12,0
22,1039,32,211,2,41.112407415689525,6447,7011,11.94148033360552,0,1,1,1,5,1,119,31,0
23,6550,383,0,0,24.861193306363216,9841,6986,13.649758465595136,0,1,0,1,3,9,61,31,0
24,490,1179,233,2,2.9788404770094186,1130,5485,2.9788404770094186,0,0,0,5,7,13,131,37,0
25,376,1427,233,2,39.761361560768364,14017,11651,2.9788404770094186,0,1,1,5,7,13,131,37,0
26,2611,50,163,2,20.95894687891098,2404,5274,17.048368349525724,0,1,0,1,0,13,89,22,0
27,5984,396,90,2,19.268022081589343,853,10582,10.512156024208258,0,1,0,1,0,5,51,16,0
28,5347,1260,233,2,12.145203812526697,9142,5485,2.9788404770094186,0,0,0,1,7,13,72,37,0
29,2199,902,233,2,20.855167882850637,6800,5735,2.9788404770094186,0,1,0,1,2,4,26,1,0
30,4530,259,233,2,20.855167882850637,11609,9188,2.9788404770094186,0,1,0,1,2,4,22,7,0
31,1928,700,233,0,2.9788404770094186,751,5502,15.798640977293866,0,1,0,1,0,9,22,12,0
32,1429,290,46,2,17.0276384033222,8623,9510,14.796788852650161,0,1,1,1,2,9,23,23,0
33,2024,1160,233,2,26.740059005312848,9891,3585,2.9788404770094186,0,1,1,1,7,1,88,12,0
34,1618,267,6,2,20.631580434592365,370,3986,2.9788404770094186,0,1,1,1,7,13,75,37,0
35,4819,1109,233,2,7.811241433747093,145,11373,4.509362433691496,0,1,1,0,7,1,31,37,0
36,6868,282,233,2,7.811241433747093,14357,11408,4.509362433691496,0,1,0,0,7,1,31,37,0
37,537,1039,233,2,2.9788404770094186,12480,5485,2.9788404770094186,0,0,0,1,5,1,88,12,0
38,883,713,85,2,12.1800625746006,10463,8474,18.6938046915203,0,1,1,1,5,13,22,9,0
39,1553,1380,233,2,20.855167882850637,10109,5409,2.9788404770094186,0,1,0,1,2,4,39,1,0
40,4819,243,233,2,7.811241433747093,145,11373,4.509362433691496,0,1,1,0,7,1,31,37,0
41,4819,714,233,2,7.811241433747093,145,11373,4.509362433691496,0,1,1,0,7,1,31,37,0
42,6362,25,233,0,2.9788404770094186,1416,5485,2.9788404770094186,0,0,0,1,2,1,22,12,0
